child	age	verb_types	lexical_types	morph_types	dir_types	noncaus_types	verb_tokens	lexical_tokens	morph_tokens	dir_tokens	noncaus_tokens	verb_entropy	verb_var	lex_entropy	lex_var	morph_entropy	morph_var	dir_entropy	dir_var	noncaus_entropy	noncaus_var	dir_inv_entropy	dir_inv_var	verb_obj	lex_obj	morph_obj	dir_obj	noncaus_obj
c1	637	40	9	4	2	28	165	39	4	2	123	3.295255705825241	0.09608091164044649	2.02076136224459	0.14831052531338546	3.1999078700637886	0.7329514983765725	2.1058699026175876	0.7723803928889159	2.8447133683188515	0.10209064889027922	2.6418863034166957	0.11803222289786175	0.205486	0.33293100000000003	0.500158	0.0	0.164324
c1	651	45	14	3	0	29	211	104	4	0	104	3.1932567841092405	0.09391113442054848	1.9072119588699463	0.1186792758826003	2.287192642222783	0.8270161656541704	0	0	2.9863070554888402	0.12782706874236746	2.759753136311291	0.07830310449716345	0.403422	0.539255	1.0	0	0.249884
c1	665	43	14	4	1	27	176	43	6	1	127	3.3472002662772975	0.09597252757434731	2.3622130861648785	0.18659031266008386	2.31694492406678	0.6789325190167909	1.9459100261246516	1.1596696755452531	2.839011643155086	0.11152736006023686	2.7395624515783124	0.12149370791724122	0.260707	0.39068400000000003	0.0	0.0	0.230719
c1	679	34	9	1	1	25	88	24	1	1	64	3.4830556994885478	0.11590603231174226	2.076891158333451	0.22774301829471816	2.0302213724236475	1.206437741590319	1.925073683937987	1.1481275017507067	3.1454689510402876	0.11120169214732588	2.9764445981238095	0.16541100095441777	0.230849	0.391639	0.0	0.0	0.172254
c1	693	58	13	3	1	45	252	55	9	1	190	3.587822854922314	0.0682229430356165	2.2752828487512224	0.14887309625376038	1.06983106460329	0.43700899972593255	2.1097536946597093	1.2506481426811864	3.2930354600358718	0.07359208413941182	2.871725851999368	0.11580829777683975	0.402206	0.418971	0.66628	0.0	0.380367
c1	707	44	11	2	0	32	184	34	3	0	147	3.4791662244987496	0.07590418675496344	2.349022363358034	0.12721890152367915	1.6944196638657865	0.8378886788636525	0	0	3.0880880668153363	0.07782281693076876	3.022956437495714	0.06585151105272807	0.266694	0.375342	0.6666150000000001	0	0.235245
c1	722	34	10	2	1	24	90	23	2	1	66	3.410032701930833	0.13060664940150787	2.1584522055431656	0.25554568928359245	2.6936514255531634	1.0556111736111349	1.8920947042550804	1.129871944039705	3.0587472304366172	0.1457427978765295	2.7116759950664657	0.18767974744100355	0.289206	0.500457	0.499868	0.0	0.205669
c1	742	31	8	3	1	21	80	25	3	1	52	3.426753116187056	0.12379468829898956	1.8993164552155575	0.2129507921623597	2.7730477982648503	0.7762449459856979	1.5890268863223804	0.9628487899259336	3.0725421451490655	0.1378101075546693	2.6509473430134904	0.13794342961681666	0.353697	0.41759599999999997	0.6670590000000001	1.0	0.307173
c1	756	39	10	3	0	29	169	52	15	0	107	3.3411138756010743	0.08702703509520478	2.013894221897417	0.1296484347685259	0.9909826079266436	0.2684553469438089	0	0	3.0493381049313353	0.11481314715586714	2.746777348850651	0.10715330993124042	0.338695	0.39248500000000003	0.399462	0	0.290259
c1	777	56	16	7	3	36	232	74	11	4	149	3.6402223109075478	0.05691712987450394	2.5386416100432156	0.1162181186870853	2.7449317476177475	0.4874998211715313	2.1279895035805647	0.7018555084022041	3.1744842047522304	0.08489271542455158	3.1131173562699943	0.07458196755815108	0.32746000000000003	0.513239	0.600534	0.750507	0.211293
c1	791	58	15	5	1	41	264	66	15	1	184	3.5376283314460544	0.07203125434314174	2.343430495090554	0.14634128587230433	1.333288177736785	0.38182581052476994	1.9033311313770989	1.1360900964323934	3.1486117727692693	0.0830441811326882	2.798343867031237	0.11225365147711648	0.369412	0.469052	0.733108	0.0	0.302565
c1	804	50	11	5	0	37	214	65	10	0	142	3.5433392519965987	0.059976827977157865	1.9595429180921846	0.11139017223557615	2.05746978587777	0.42142671579519764	0	0	3.331782011221347	0.09218707395440869	2.933438877231882	0.0890836605407433	0.436665	0.622346	0.499588	0	0.347666
c1	819	47	13	3	0	33	203	84	18	0	117	3.2958059025302315	0.09643599915207897	2.0441767070607235	0.11502597139249908	0.5989597427637842	0.271784892804083	0	0	2.981636886286493	0.1391743178191805	2.6489909775842246	0.10517788643487798	0.353123	0.439831	0.4996	0	0.290762
c1	832	54	13	7	1	40	396	98	9	1	291	3.324813428436544	0.05549053110232441	2.0252799534456427	0.09060500473594592	2.9226754785141713	0.4884627032768505	1.8688346956617239	1.1170059103102112	3.009211730173663	0.07440142926700116	2.471163460722432	0.09330054926554211	0.227237	0.333727	0.333527	0.0	0.191005
c1	848	47	14	5	1	31	232	79	10	1	145	3.2097952981862776	0.08713853316701455	1.8685300039450936	0.15213948031786603	2.0821185744612	0.4451674244044053	2.117053091928402	1.2547101975353876	2.871756990596585	0.111707778760996	2.559220990414332	0.10340122802678733	0.26751600000000003	0.429026	0.499676	1.0	0.17449
c1	859	88	23	6	2	63	530	152	17	6	365	3.8621389347528376	0.05792992730542111	2.5097772059650474	0.09686511061311771	1.9007714958468205	0.31728728963392666	1.0202904996460773	0.45651496507219236	3.531861626576259	0.07108951109561416	3.1224605068620495	0.0770159824497975	0.275981	0.321997	0.5291640000000001	0.499888	0.241798
c1	873	56	19	4	0	36	262	91	8	0	165	3.6389398171759444	0.07158877046188158	2.3685671656134764	0.12960455246593502	1.8264418533345774	0.5114705313101724	0	0	3.2839694567801003	0.0797440700842076	3.1044247510391525	0.09281452780871229	0.295348	0.3101	0.374979	0	0.279889
c1	885	68	18	10	5	48	460	157	26	8	294	3.6251934778440207	0.06294086543905121	2.4508254518137416	0.08524575434866781	2.2306276475425064	0.30548846619377307	2.293087864971895	0.6037932950016549	3.180174924633031	0.07610494190180825	3.0027850192363483	0.07395871238208045	0.254201	0.314451	0.26916	0.499907	0.220122
c1	901	79	17	12	5	57	446	140	31	12	287	3.7891487083678146	0.059386694530445455	2.345146552788438	0.08852278460744147	2.6594024467402275	0.23412661998951512	1.8686856365607882	0.3815374218261885	3.4145785026326636	0.08094225442394393	3.114261095663399	0.07400725009862397	0.323029	0.454715	0.354375	0.33312	0.250349
c1	915	71	16	8	2	51	485	164	22	3	309	3.5975494962421934	0.057117288949062206	2.2762141965878846	0.07276544873173707	2.1712342881688746	0.2836396506376899	1.711183751265647	0.854263967702337	3.2239570449446524	0.07508749693624286	2.8453103999512535	0.0749409852659873	0.26912200000000003	0.36074	0.36373099999999997	0.33374	0.217011
c1	930	57	12	4	2	44	357	137	9	4	215	3.339643220279277	0.06517831636387292	1.7583883816574357	0.09748364599015806	1.7581512845176914	0.43174626319078674	1.3695243146209106	0.659398875346389	3.2394593264576588	0.08535524285882204	2.7272265654281362	0.07382239840188137	0.273167	0.379999	0.555689	0.50037	0.200975
c1	941	70	17	5	3	52	302	116	22	3	168	3.793104356000795	0.07620868114715307	2.1374043333727184	0.11121852636833096	1.0815961735841488	0.2988638520908781	3.103589403292842	0.9207027894162854	3.7558267304445407	0.09053622679730038	3.2076291135919215	0.087006281594381	0.352931	0.4356	0.682009	0.666828	0.253631
c1	957	76	16	4	2	60	388	118	9	3	266	3.8091774070448947	0.06736611582760563	2.366877632573678	0.07764675203411468	1.8063018772177137	0.4429020550893537	1.7913756176987672	0.9376431657468497	3.538731177437817	0.08790447709737362	3.0795620791039235	0.07632346523322552	0.270786	0.368858	0.443787	0.333355	0.227735
c1	972	61	17	9	5	41	242	94	18	6	142	3.68321374405025	0.07741028874582799	2.432383583912571	0.11451798392884986	2.3422146540605193	0.3836038874266421	2.909875176486412	0.6480707063129132	3.279126933328909	0.09092028741227734	2.9424201488400445	0.10717440996650941	0.295804	0.362328	0.277549	0.333436	0.264409
c1	984	72	21	10	3	48	391	107	22	3	265	3.813851638502388	0.05875514170049701	2.6633144767775665	0.10215840418323896	2.54403478487388	0.3062782556044469	2.700440518100346	0.7454010622785219	3.3748964107541677	0.07686578840601341	3.259302113885401	0.0681486730492797	0.316018	0.480865	0.42932	1.0	0.247198
c1	998	80	20	9	1	57	522	162	34	1	336	3.78275828305359	0.05240253891844042	2.4701980849414396	0.0719617489540077	1.8336636506940116	0.23551721695422165	2.184723741414014	1.292403524478684	3.414587485903962	0.07445488915302471	3.135601533878552	0.06831349190150048	0.282137	0.339718	0.440835	1.0	0.24238200000000001
c2	1004	133	29	15	3	99	662	166	43	4	464	4.355517869037317	0.040799459572870615	2.809755232874732	0.08226013651639044	2.6682802783674866	0.20844974591156654	2.280967519978138	0.8217588470943183	4.10399452282512	0.06063363180162085	3.5934539382138087	0.05703539313141243	0.244909	0.342856	0.279097	0.0	0.214941
c2	1019	113	29	18	6	80	779	198	45	13	540	4.109347877470043	0.04317782857074823	2.698504728737678	0.08914584511212464	2.967234140609403	0.2119262059134762	2.0816894972696365	0.3730350141358122	3.7270629735549425	0.04865804579603609	3.2162873233928693	0.057291743217339375	0.286519	0.392007	0.421858	0.384546	0.239083
c2	1037	92	20	16	5	68	751	179	43	7	534	3.7348164556370014	0.04905997611234833	2.047740083857781	0.10402773441087358	2.9458573357661484	0.19254621955134418	2.4909672871583006	0.587174169785204	3.4252963842248563	0.05893000809646845	2.985069262760621	0.06286533615619713	0.243261	0.290738	0.349096	0.142646	0.222968
c2	1056	100	26	12	4	70	499	113	20	4	367	4.133188014219105	0.057234880934043435	2.9241230925141553	0.10847009944477932	3.130460105384568	0.37157943517171554	3.4701672890763686	0.8425201782383266	3.719149031067193	0.06819687536648474	3.379151719993898	0.0772116871490206	0.302319	0.358797	0.500379	0.500214	0.273621
c2	1079	100	26	10	3	70	825	255	25	6	546	3.574370542176753	0.05293654338491483	1.911318111137538	0.09980944753753256	2.5257518510800208	0.25674923898359214	1.634488266638123	0.5628530297298938	3.333949068918363	0.06281201167608788	2.76779259574892	0.06330967950419583	0.308266	0.412601	0.480527	0.499646	0.254815
c2	1119	88	19	12	2	66	557	231	17	3	311	3.533820944317248	0.06527078689843815	1.6987842334010619	0.09778618566442049	3.3123829835433107	0.4185193016858577	1.704777686080622	0.8479681015376463	3.600780160415783	0.07356181664037775	2.7252096711929297	0.07651923228163598	0.374837	0.5409510000000001	0.646669	0.332727	0.244946
c2	238	47	9	4	2	37	197	43	6	2	149	3.36031431656394	0.08604529882340049	1.9218403651134857	0.1318449633753027	2.2231368633065265	0.6653622092852083	2.3068092822186252	0.8674088849071524	3.0145242368869654	0.09715168096773567	2.8142693656578466	0.09987784364269764	0.192749	0.325698	0.0	0.0	0.160925
c2	253	29	10	0	0	19	94	17	0	0	77	2.8559288623074646	0.1393120529503131	2.4130006109431874	0.2976088481731603	0	0	0	0	2.3237661875335873	0.12626505400144244	2.8637187887731046	0.1543037422290946	0.225514	0.437553	0	0	0.182348
c2	309	56	14	7	3	40	233	63	12	5	161	3.5757336020962183	0.0798865136111784	2.171428170675203	0.12503997565130695	2.5599329282226413	0.45154838911639456	1.7298354276357566	0.6136159516563889	3.217110665694563	0.10347835057786589	3.0088603460143886	0.08675927177075222	0.389255	0.419033	0.249898	0.199837	0.387667
c2	322	56	15	5	2	39	260	71	11	2	181	3.4172421482304434	0.08978734644130475	2.064353316214574	0.1590153772549477	1.838453529559509	0.4468559978281238	2.59879864896775	1.0088679430923637	3.023247904153811	0.10536100808627732	2.761152264800823	0.09983693860499684	0.199303	0.294431	0.36386999999999997	1.0	0.161077
c2	336	43	11	3	0	30	149	36	6	0	108	3.3538252537826465	0.11103377907294107	2.021392520956753	0.21348331142224003	1.530829767684243	0.598888256610979	0	0	2.937143596759913	0.12472787295194904	2.3486391563882933	0.14636609538515144	0.301582	0.433666	0.333158	0	0.269141
c2	352	49	10	4	1	36	322	86	4	1	232	2.607131141423204	0.09291023755557326	1.582787782965691	0.1151781023260601	3.2165815296222924	0.739565354554612	1.7328678834814655	1.0419556309258762	2.096295085600678	0.11332830420618858	2.486813579670333	0.11107223269025147	0.181224	0.37605	0.249844	1.0	0.108548
c2	368	77	20	8	4	51	299	62	12	4	230	3.5732748881452836	0.0906241832719585	2.5542025853929506	0.16853980154891118	2.871570776401385	0.5026903320949124	3.2083058033515517	0.7362802162119034	3.0709561978100917	0.10463212061386672	2.99903601731214	0.12097837746658963	0.205378	0.292922	0.499681	0.500426	0.171688
c2	384	25	7	1	1	17	144	71	1	1	72	2.6690561038063665	0.09938907091457617	1.4467900480994207	0.09717356507382072	1.8920947042550804	1.129871944039705	1.5455211836718512	0.9389788549302808	2.4204878968369674	0.14595374702185895	2.2488673272445467	0.10184428616457997	0.188137	0.197055	1.0	1.0	0.169632
c2	401	58	13	8	6	40	309	101	15	8	194	3.3218922557424633	0.08137910671142937	1.950262862456154	0.10933477896179628	2.478738151785842	0.41322713932604954	2.7971629308999892	0.5301230095383601	2.8796414541790227	0.10998567790387243	2.871602226262605	0.08249353971934319	0.206747	0.189756	0.466757	0.500658	0.193368
c2	431	48	15	5	3	31	185	70	8	3	110	3.4421478209442733	0.09267534984323599	2.192877345545747	0.14696991117943642	2.2624428076179526	0.5784615422824951	2.6461463621406476	0.7225557280016061	3.027646863339565	0.11086567372247581	2.767183211338174	0.10313230102037442	0.235705	0.333332	0.750764	0.665922	0.146797
c2	474	67	14	9	5	49	253	56	19	8	180	3.682358189960979	0.08656855134134668	2.0278967716213283	0.17755401295909182	2.5501232732840213	0.3272195026993112	2.3524000825115237	0.5708118700771596	3.351516233993405	0.10527498223644467	3.1206664174796948	0.12019061289731596	0.254294	0.327113	0.420806	0.624851	0.217842
c2	488	58	17	4	1	39	279	89	7	1	184	3.462117770009629	0.08297344281235278	2.229665284655985	0.13684915480312626	1.9506427255494245	0.6109123777591144	2.012675717317912	1.1966965965775005	3.0544532625586633	0.09612659158779627	2.8996219911877823	0.09274407718730224	0.219853	0.290749	0.285695	1.0	0.189059
c2	508	76	17	12	4	52	313	95	27	5	194	3.823524084154309	0.08019968427461975	2.1857590015781683	0.1372766999083393	2.5923105523332506	0.30603553034471714	2.7353589738560222	0.7992126220608109	3.5240786766566625	0.09888690936704485	2.923680929378044	0.09637221056342253	0.27237500000000003	0.234236	0.443788	0.79988	0.262608
c2	523	90	22	6	1	65	361	77	28	1	257	3.9851505205793685	0.06988742719658683	2.715404361557456	0.14441292728996616	1.0869974145878807	0.27865088561121676	2.4260148246520314	1.4273002215045238	3.7275105716098724	0.08332357492836259	3.365674091273981	0.10302166994473916	0.266204	0.322803	0.571568	1.0	0.22034600000000001
c2	536	55	16	5	1	38	341	102	15	4	226	3.3726117598381453	0.06332063297185402	2.2163816747406986	0.1030940178085208	1.7946608577938958	0.29223194086179655	0.35315130200885736	0.46433522106519837	2.8917855536194454	0.07936901805717825	2.754033219886855	0.07411033954042126	0.21178	0.235035	0.334435	0.499805	0.196811
c2	592	90	18	6	2	69	524	154	12	2	359	3.7551676412004182	0.05533116898907156	2.18373179474318	0.09291537181903013	2.1746859735894213	0.426552140572348	2.407953049929728	0.9159763119009368	3.5091008566888284	0.0692474851498623	3.007571592382409	0.06785667468122537	0.229556	0.265784	0.583415	1.0	0.205485
c2	608	99	23	9	2	71	552	140	12	2	401	3.9348760348118166	0.059543032718260815	2.5810070237002747	0.10214830678704724	3.3551047527096953	0.5797488048646406	2.9047561966606845	1.1609125648983256	3.5594355132823314	0.07125093451661361	3.3118818862756307	0.079201012947893	0.21684	0.297754	0.33376	1.0	0.188116
c2	622	32	10	2	1	21	134	41	2	1	92	3.223550288222548	0.09687390668063486	2.051855278744552	0.1070091391841026	2.5571922486523753	0.9884821522374867	1.9659126859945089	1.1707559831125496	2.769292927720075	0.11636780731004473	2.786455166081212	0.13844099318350114	0.231171	0.3655	0.500317	1.0	0.162877
c2	642	106	19	9	2	84	596	120	47	5	435	4.073282034704117	0.05585733000128473	2.5511260137351277	0.09171682474457031	1.7948926325843193	0.18362199672628834	1.0314235195378292	0.5834441828617599	3.7771988825395133	0.06896217019427363	3.3616662963075408	0.07329622811008414	0.330961	0.321353	0.639846	0.799668	0.299743
