child	age	verb_types	lexical_types	morph_types	dir_types	noncaus_types	verb_tokens	lexical_tokens	morph_tokens	dir_tokens	noncaus_tokens	verb_entropy	verb_var	lex_entropy	lex_var	morph_entropy	morph_var	dir_entropy	dir_var	noncaus_entropy	noncaus_var	dir_inv_entropy	dir_inv_var	verb_obj	lex_obj	morph_obj	dir_obj	noncaus_obj
c3	703	15	4	1	0	10	45	7	1	0	37	2.41809098056853	0.1771370611706865	1.404505841608925	0.16766640894792695	1.5455211836718512	0.9389788549302808	0	0	1.9201439106857197	0.18422702680454683	1.1012886821902408	0.17581968133861237	0.113855	0.0	1.0	0	0.108243
c3	736	34	9	2	0	24	174	30	4	0	141	2.6373294503933105	0.12150028590689008	1.9526601613202617	0.16069372485467692	1.2710802970962687	0.6893104634136592	0	0	2.1355774981658056	0.13481493610920198	1.698987332631028	0.14184610585425192	0.18836	0.536358	0.250202	0	0.115588
c3	750	25	6	3	1	18	66	14	4	2	48	3.0477854800160182	0.10009607432882199	1.834696791494871	0.22140986879489327	2.0418783059301617	0.6409946331984806	0.8246320887281454	0.7931359983775434	2.7268998198600305	0.1510021304938354	2.576708030091798	0.1560825953455253	0.187611	0.333623	0.500298	1.0	0.12425900000000001
c3	766	40	9	3	0	30	96	25	7	0	66	3.679513610804639	0.09620612101285565	2.1039214089725493	0.0758536341105566	1.4484402587468717	0.4841977833260011	0	0	3.348012176418525	0.11925116932307518	3.068465950370808	0.10996623867157133	0.201866	0.333633	0.428179	0	0.154186
c3	777	27	9	5	1	16	122	30	21	15	72	2.9323000245230815	0.07790761849434077	1.9502626877275147	0.1434582361684943	1.1844210021493757	0.284465395042721	0.07670427540289942	0.13742967955156513	2.407228204526767	0.12295358438035665	2.3340490645800394	0.11737697146455535	0.184137	0.31797000000000003	0.190061	0.132921	0.139087
c3	792	64	16	5	1	47	244	93	14	2	147	3.6114314839022326	0.07067153797526861	1.8276495798013743	0.14242511186758472	1.6261855906053149	0.3572796793445656	0.8991889649207245	0.886734275407267	3.6823899967225544	0.09058563574224623	2.8184967718652905	0.11754047083854313	0.311755	0.477273	0.428291	0.0	0.206847
c3	802	50	15	5	3	34	174	52	14	5	117	3.6814152974271264	0.08609514786496292	2.603999184310738	0.13555284127896747	1.599946028297025	0.36427625287672477	1.73391376856599	0.6172289416474132	3.217356115166001	0.10396161120466053	3.056697582507433	0.09490600137832995	0.260138	0.392138	0.215136	0.400361	0.196407
c3	822	35	10	3	1	24	131	49	11	4	79	3.35153427936615	0.10769918868398126	2.0840124903233086	0.14075041782175263	1.3174024909129036	0.3007614528749726	0.3566044867933814	0.47024341180068996	2.9880134234932703	0.14556082109283414	2.7147043501524943	0.12687854743228077	0.29157299999999997	0.425008	0.45443100000000003	0.249761	0.194809
c3	832	48	15	3	1	33	179	75	8	2	103	3.386084391160091	0.09926228742966492	2.097295340029697	0.13653167486509607	1.3186390190650576	0.44318935818076644	0.863427633790473	0.840530691425918	3.1313308334152548	0.13615922709480027	2.6228123506084824	0.11065959097923375	0.217049	0.305546	0.249104	0.500615	0.147618
c3	845	2	1	0	0	1	5	4	0	0	1	0.5307525444735296	0.1661873959558738	0.0	0.0	0	0	0	0	0	0	0.5307525444735296	0.1661873959558738	0.20005900000000001	0.250124	0	0	0.0
c3	846	65	14	6	3	46	337	106	9	4	224	3.5829813631342513	0.07653296563031799	1.995790039541665	0.10921794382493206	2.6701492044969037	0.5953055694401557	2.218981949061396	0.7711354025837213	3.289223489720114	0.09328702624598254	2.9177494215347664	0.07747781867408622	0.307592	0.42869	0.333686	0.250209	0.248233
c3	859	57	11	3	0	44	192	64	6	0	122	3.780462929511928	0.09359414938903984	2.0584225739999233	0.12160276293036787	1.5410717034002244	0.6097358412540343	0	0	3.625228002308284	0.12012919740862446	2.9534451086365223	0.11674612788021589	0.203818	0.29600899999999997	0.333545	0	0.147622
c3	873	54	17	3	1	37	219	95	5	2	122	3.5614511363869368	0.08785380853851622	2.149315267762586	0.13921044131417393	1.9177945856901162	0.7051123223801635	0.9238539479654889	0.9203487698624416	3.3985463503525075	0.09312454859025711	2.782513994503964	0.10829656678919686	0.328241	0.474182	0.399031	0.499354	0.212872
c3	888	56	16	4	1	40	192	43	7	2	143	3.6059992135209007	0.09801566743078405	2.6261116190715574	0.1600653103443635	2.0933988456641783	0.5747775394925998	0.9173066872486756	0.9112670910467984	3.160178791292873	0.12047425073072997	2.9884557678901165	0.12367555064523444	0.322706	0.558446	0.857911	0.499942	0.230619
c3	905	61	15	4	1	46	300	99	17	2	192	3.6949846375288797	0.06605454819072264	2.254833521798518	0.10850710540557001	1.3536504144236337	0.2605791540853207	0.8698781707187179	0.8486699199851178	3.441251350489801	0.0839407057856743	2.8542857560682897	0.0683118382996543	0.318603	0.443554	0.235469	1.0	0.25372300000000003
c3	938	74	24	8	4	48	247	85	17	8	149	4.13483018636615	0.06425083036737124	2.967474550128913	0.10387140550515558	2.505429588943806	0.32976868388676445	1.8514741225653413	0.49457216539144144	3.6922094520033544	0.0807219474422582	3.58125732726407	0.08443875737339808	0.342226	0.5329940000000001	0.35307299999999997	0.624727	0.233092
c3	950	63	21	5	3	40	255	122	9	5	128	3.687995032807605	0.08662971198599712	2.3204984147477177	0.12621475532451243	2.225919067964624	0.5130088554796141	1.8978305567778073	0.681257829216645	3.5138639377792966	0.0987340202514771	3.037123370736816	0.10325739254859255	0.432111	0.572858	0.444752	0.800041	0.293927
c3	964	80	18	6	1	61	354	64	23	3	272	3.728078572615788	0.08044796844529277	2.6044902961496437	0.09410608520778964	1.8736718166361455	0.22584492515621654	0.5131320535924734	0.611195929049862	3.29910562322935	0.09987918622804147	2.824660047719227	0.10586730698811934	0.268923	0.386151	0.216299	0.334088	0.24816
c3	980	78	22	6	2	55	324	77	16	3	237	4.033388672765592	0.06042934328242798	2.868114680591088	0.1295000822781495	1.9617659181634322	0.32502754286532254	1.7688310190391436	0.9132673623802988	3.6795901254394208	0.07474126547654317	3.4719382264319996	0.085534231858598	0.267647	0.377099	0.375626	0.332774	0.230156
c3	994	63	21	5	1	40	267	102	11	1	157	3.4814982844727798	0.08370865190185792	2.351874700669025	0.11540086549827303	1.824871657984611	0.4354398831478592	1.7776739557897383	1.0666576375278904	3.053528995535606	0.11666545632312329	2.716144365254445	0.09604813039980642	0.152119	0.252834	0.181733	0.0	0.090011
